detector-Id,latitude,longitude,detector-type,lane-id,lane-name
CBDS43 - I-29 SB @ N 25th St Off,41275516,-95878142,Microwave Radar,2,CBDS43-SB RL
CBDS43 - I-29 SB @ N 25th St Off,41275516,-95878142,Microwave Radar,1,CBDS43-SB LL
CBDS34 - I-29 NB @ 9th Ave On Ra,41256992,-95906726,Microwave Radar,1,CBDS34-NB LL
CBDS34 - I-29 NB @ 9th Ave On Ra,41256992,-95906726,Microwave Radar,2,CBDS34-NB RL
CBDS44 - I-29 NB @ N 16th St,41285689,-95867193,Microwave Radar,1,CBDS44-NB LL
CBDS44 - I-29 NB @ N 16th St,41285689,-95867193,Microwave Radar,2,CBDS44-NB RL
CBDS45 - I-29 SB @ N 16th St,41287375,-95867535,Microwave Radar,2,CBDS45-SB RL
CBDS45 - I-29 SB @ N 16th St,41287375,-95867535,Microwave Radar,1,CBDS45-SB LL
CBDS46 - I-29 NB @ MM 59.4,41321455,-95881178,Microwave Radar,2,CBDS46-NB RL
CBDS46 - I-29 NB @ MM 59.4,41321455,-95881178,Microwave Radar,1,CBDS46-NB LL
CBDS46 - I-29 SB @ MM 59.4,41321355,-95881489,Microwave Radar,2,CBDS46-SB RL
CBDS46 - I-29 SB @ MM 59.4,41321355,-95881489,Microwave Radar,1,CBDS46-SB LL
CBDS47 - I-29 NB @ South of I-68,41343943,-95892533,Microwave Radar,2,CBDS47-NB RL
CBDS47 - I-29 NB @ South of I-68,41343943,-95892533,Microwave Radar,1,CBDS47-NB LL
CBDS47 - I-29 SB @ South of I-68,41343864,-95892817,Microwave Radar,1,CBDS47-SB LL
CBDS47 - I-29 SB @ South of I-68,41343864,-95892817,Microwave Radar,2,CBDS47-SB RL
CBDS48 - I-29 NB @ Co Rd G37 EB ,41350800,-95897757,Microwave Radar,2,CBDS48-NB RL
CBDS48 - I-29 NB @ Co Rd G37 EB ,41350800,-95897757,Microwave Radar,1,CBDS48-NB LL
CBDS48 - I-29 SB @ I-680 EB On R,41350676,-95897982,Microwave Radar,1,CBDS48-SB LL
CBDS48 - I-29 SB @ I-680 EB On R,41350676,-95897982,Microwave Radar,2,CBDS48-SB RL
CBDS49 - I-680 WB @ I-29 South I,41354401,-95901016,Microwave Radar,1,CBDS49-WB LL
CBDS49 - I-680 WB @ I-29 South I,41354401,-95901016,Microwave Radar,2,CBDS49-WB RL
CBDS49 - I-680 EB @ I-29 South I,41354126,-95900881,Microwave Radar,2,CBDS49-EB RL
CBDS49 - I-680 EB @ I-29 South I,41354126,-95900881,Microwave Radar,1,CBDS49-EB LL
CBDS50 - I-29 NB @ Co Rd G37 On ,41359400,-95901088,Microwave Radar,1,CBDS50-NB LL
CBDS50 - I-29 NB @ Co Rd G37 On ,41359400,-95901088,Microwave Radar,2,CBDS50-NB RL
CBDS50 - I-29 SB @ I-680 WB Off ,41359443,-95901380,Microwave Radar,1,CBDS50-SB LL
CBDS50 - I-29 SB @ I-680 WB Off ,41359443,-95901380,Microwave Radar,2,CBDS50-SB RL
CBDS51 - I-680 EB @ I-29 SB Off ,41352448,-95906283,Microwave Radar,1,CBDS51-EB LL
CBDS51 - I-680 EB @ I-29 SB Off ,41352448,-95906283,Microwave Radar,2,CBDS51-EB RL
CBDS51 - I-680 WB @ I-29 SB On R,41352753,-95906414,Microwave Radar,1,CBDS51-WB LL
CBDS51 - I-680 WB @ I-29 SB On R,41352753,-95906414,Microwave Radar,2,CBDS51-WB RL
CBDS20 - I-80 EB @ Harry Langdon,41233081,-95828548,Microwave Radar,1,CBDS20-EB LL
CBDS20 - I-80 EB @ Harry Langdon,41233081,-95828548,Microwave Radar,2,CBDS20-EB RL
